priority,cluster,keyword,volume_28d,average_volume,zero_click,kd,intent,recommended_target
P0,Results,snooker results,44100,77700,47%,47,Informational,/results/
P0,Results,snooker results today,17000,5100,52%,N/A,N/A,/results/
P0,Results,live snooker results,7400,7700,29%,N/A,N/A,/results/
P0,Results,latest snooker results,2200,3700,38%,N/A,N/A,/results/
P0,Scores,snooker scores,43800,110700,41%,53,Informational,/results/
P0,Scores,snooker live scores,33600,36000,41%,45,Informational,/results/
P0,Scores,snooker live score,21100,26100,45%,45,Informational,/results/
P0,Rankings,snooker rankings,10500,9500,37%,41,Navigational,/rankings/
P0,Rankings,snooker rankings 2026,9200,850,70%,35,Informational,/rankings/
P0,Rankings,world snooker rankings,3000,2100,55%,38,Informational,/rankings/
P0,Rankings,snooker world rankings,1700,3100,33%,42,Navigational,/rankings/
P0,Rankings,snooker live rankings,1700,810,49%,N/A,N/A,/rankings/
P0,Calendar,snooker schedule,3800,5200,45%,65,Informational,/calendar/season/
P0,Calendar,snooker calendar,1500,1800,33%,N/A,N/A,/calendar/season/
P0,Calendar,snooker today schedule,550,63,N/A,N/A,N/A,/calendar/season/
P0,Calendar,snooker calendar 2026/27,450,<50,N/A,N/A,N/A,/calendar/season/
P0,Calendar,snooker schedule 2026/27,440,<50,46%,N/A,N/A,/calendar/season/
P1,Tournaments,snooker tournaments 2026,2200,533,77%,47,Informational,/calendar/season/
P1,Tournaments,snooker tournaments,2000,529,59%,N/A,N/A,/calendar/season/
P1,Tournaments,snooker major tournaments,900,<50,N/A,N/A,N/A,/guides/major-snooker-tournaments/
P1,TV and next event,when is the next snooker tournament on tv 2026,7200,463,64%,N/A,N/A,/snooker-on-tv/
P1,TV and next event,what channel is snooker on today,1500,434,50%,N/A,N/A,/snooker-on-tv/
P1,TV and next event,when is the next televised snooker tournament,990,57,52%,N/A,N/A,/snooker-on-tv/
P1,Beginner guide,how to play snooker,5900,1600,74%,40,Informational,/guides/how-to-play-snooker/
P1,Rules,snooker rules,2600,3500,91%,38,Informational,/guides/how-to-play-snooker/
P1,Rules,snooker foul rules,890,65,N/A,N/A,N/A,/guides/how-to-play-snooker/
P1,Definition,what is snooker,6900,3700,90%,47,Informational,/guides/what-is-snooker/
P1,Definition,what is a snooker,1600,624,83%,45,Informational,/guides/what-is-snooker/
P1,History,where does snooker originate from,870,72,89%,37,Informational,/guides/what-is-snooker/
P1,Comparison,snooker vs pool,17200,11000,52%,40,Transactional,/guides/snooker-vs-pool/
P1,Comparison,pool vs snooker,4200,6700,64%,43,Informational,/guides/snooker-vs-pool/
P2,Event archive,world snooker tour results,1400,285,47%,62,Informational,/results/
P2,Event archive,snooker world championship results,320,1200,50%,65,Informational,/tournaments/world-championship-2027/
